home_team,away_team,home_goals,away_goals,result,season
Wigan Athletic,Fulham,0.0,0.0,D,2008-2009
Portsmouth,Liverpool,2.0,3.0,A,2008-2009
Tottenham Hotspur,Arsenal,0.0,0.0,D,2008-2009
West Ham United,Manchester United,0.0,1.0,A,2008-2009
Portsmouth,Manchester City,2.0,0.0,H,2008-2009
Manchester United,Fulham,3.0,0.0,H,2008-2009
Aston Villa,Chelsea,0.0,1.0,A,2008-2009
Arsenal,Sunderland,0.0,0.0,D,2008-2009
Bolton Wanderers,West Ham United,2.0,1.0,H,2008-2009
Middlesbrough,Wigan Athletic,0.0,0.0,D,2008-2009
Stoke City,Portsmouth,2.0,2.0,D,2008-2009
Manchester United,Blackburn Rovers,2.0,1.0,H,2008-2009
Fulham,West Bromwich Albion,2.0,0.0,H,2008-2009
Liverpool,Manchester City,1.0,1.0,D,2008-2009
Newcastle United,Everton,0.0,0.0,D,2008-2009
Hull City,Tottenham Hotspur,1.0,2.0,A,2008-2009
Everton,West Bromwich Albion,2.0,0.0,H,2008-2009
Arsenal,Fulham,0.0,0.0,D,2008-2009
Chelsea,Wigan Athletic,2.0,1.0,H,2008-2009
Middlesbrough,Liverpool,2.0,0.0,H,2008-2009
Hull City,Blackburn Rovers,1.0,2.0,A,2008-2009
West Ham United,Manchester City,1.0,0.0,H,2008-2009
Bolton Wanderers,Newcastle United,1.0,0.0,H,2008-2009
Aston Villa,Stoke City,2.0,2.0,D,2008-2009
Portsmouth,Chelsea,0.0,1.0,A,2008-2009
West Bromwich Albion,Arsenal,1.0,3.0,A,2008-2009
Liverpool,Sunderland,2.0,0.0,H,2008-2009
Manchester City,Aston Villa,2.0,0.0,H,2008-2009
Newcastle United,Manchester United,1.0,2.0,A,2008-2009
Stoke City,Bolton Wanderers,2.0,0.0,H,2008-2009
Wigan Athletic,West Ham United,0.0,1.0,A,2008-2009
Blackburn Rovers,Everton,0.0,0.0,D,2008-2009
Fulham,Hull City,0.0,1.0,A,2008-2009
Tottenham Hotspur,Middlesbrough,4.0,0.0,H,2008-2009
Sunderland,Tottenham Hotspur,1.0,1.0,D,2008-2009
Fulham,Blackburn Rovers,1.0,2.0,A,2008-2009
Manchester United,Liverpool,1.0,4.0,A,2008-2009
Arsenal,Blackburn Rovers,4.0,0.0,H,2008-2009
Bolton Wanderers,Fulham,1.0,3.0,A,2008-2009
Everton,Stoke City,3.0,1.0,H,2008-2009
Hull City,Newcastle United,1.0,1.0,D,2008-2009
Middlesbrough,Portsmouth,1.0,1.0,D,2008-2009
Sunderland,Wigan Athletic,1.0,2.0,A,2008-2009
Chelsea,Manchester City,1.0,0.0,H,2008-2009
Aston Villa,Tottenham Hotspur,1.0,2.0,A,2008-2009
West Ham United,West Bromwich Albion,0.0,0.0,D,2008-2009
Portsmouth,Everton,2.0,1.0,H,2008-2009
Blackburn Rovers,West Ham United,1.0,1.0,D,2008-2009
Fulham,Manchester United,2.0,0.0,H,2008-2009
Stoke City,Middlesbrough,1.0,0.0,H,2008-2009
Tottenham Hotspur,Chelsea,1.0,0.0,H,2008-2009
West Bromwich Albion,Bolton Wanderers,1.0,1.0,D,2008-2009
Newcastle United,Arsenal,1.0,3.0,A,2008-2009
Wigan Athletic,Hull City,1.0,0.0,H,2008-2009
Manchester City,Sunderland,1.0,0.0,H,2008-2009
Liverpool,Aston Villa,5.0,0.0,H,2008-2009
Blackburn Rovers,Tottenham Hotspur,2.0,1.0,H,2008-2009
Arsenal,Manchester City,2.0,0.0,H,2008-2009
Bolton Wanderers,Middlesbrough,4.0,1.0,H,2008-2009
Hull City,Portsmouth,0.0,0.0,D,2008-2009
Newcastle United,Chelsea,0.0,2.0,A,2008-2009
West Bromwich Albion,Stoke City,0.0,2.0,A,2008-2009
West Ham United,Sunderland,2.0,0.0,H,2008-2009
Fulham,Liverpool,0.0,1.0,A,2008-2009
Everton,Wigan Athletic,4.0,0.0,H,2008-2009
Manchester United,Aston Villa,3.0,2.0,H,2008-2009
Liverpool,Blackburn Rovers,4.0,0.0,H,2008-2009
Chelsea,Bolton Wanderers,4.0,3.0,H,2008-2009
Middlesbrough,Hull City,3.0,1.0,H,2008-2009
Portsmouth,West Bromwich Albion,2.0,2.0,D,2008-2009
Sunderland,Manchester United,1.0,2.0,A,2008-2009
Tottenham Hotspur,West Ham United,1.0,0.0,H,2008-2009
Wigan Athletic,Arsenal,1.0,4.0,A,2008-2009
Stoke City,Newcastle United,1.0,1.0,D,2008-2009
Aston Villa,Everton,3.0,3.0,D,2008-2009
Manchester City,Fulham,1.0,3.0,A,2008-2009
Aston Villa,West Ham United,1.0,1.0,D,2008-2009
Middlesbrough,Fulham,0.0,0.0,D,2008-2009
Portsmouth,Bolton Wanderers,1.0,0.0,H,2008-2009
Stoke City,Blackburn Rovers,1.0,0.0,H,2008-2009
Sunderland,Hull City,1.0,0.0,H,2008-2009
Tottenham Hotspur,Newcastle United,1.0,0.0,H,2008-2009
Manchester City,West Bromwich Albion,4.0,2.0,H,2008-2009
Liverpool,Arsenal,4.0,4.0,D,2008-2009
Chelsea,Everton,0.0,0.0,D,2008-2009
Manchester United,Portsmouth,2.0,0.0,H,2008-2009
Bolton Wanderers,Aston Villa,1.0,1.0,D,2008-2009
Everton,Manchester City,1.0,2.0,A,2008-2009
Fulham,Stoke City,1.0,0.0,H,2008-2009
Hull City,Liverpool,1.0,3.0,A,2008-2009
West Bromwich Albion,Sunderland,3.0,0.0,H,2008-2009
West Ham United,Chelsea,0.0,1.0,A,2008-2009
Manchester United,Tottenham Hotspur,5.0,2.0,H,2008-2009
Arsenal,Middlesbrough,2.0,0.0,H,2008-2009
Blackburn Rovers,Wigan Athletic,2.0,0.0,H,2008-2009
Newcastle United,Portsmouth,0.0,0.0,D,2008-2009
Middlesbrough,Manchester United,0.0,2.0,A,2008-2009
Chelsea,Fulham,3.0,1.0,H,2008-2009
Manchester City,Blackburn Rovers,3.0,1.0,H,2008-2009
Portsmouth,Arsenal,0.0,3.0,A,2008-2009
Stoke City,West Ham United,0.0,1.0,A,2008-2009
Tottenham Hotspur,West Bromwich Albion,1.0,0.0,H,2008-2009
Wigan Athletic,Bolton Wanderers,0.0,0.0,D,2008-2009
Liverpool,Newcastle United,3.0,0.0,H,2008-2009
Sunderland,Everton,0.0,2.0,A,2008-2009
Aston Villa,Hull City,1.0,0.0,H,2008-2009
Blackburn Rovers,Portsmouth,2.0,0.0,H,2008-2009
Bolton Wanderers,Sunderland,0.0,0.0,D,2008-2009
Everton,Tottenham Hotspur,0.0,0.0,D,2008-2009
Fulham,Aston Villa,3.0,1.0,H,2008-2009
Hull City,Stoke City,1.0,2.0,A,2008-2009
West Bromwich Albion,Wigan Athletic,3.0,1.0,H,2008-2009
West Ham United,Liverpool,0.0,3.0,A,2008-2009
Manchester United,Manchester City,2.0,0.0,H,2008-2009
Arsenal,Chelsea,1.0,4.0,A,2008-2009
Newcastle United,Middlesbrough,3.0,1.0,H,2008-2009
Wigan Athletic,Manchester United,1.0,2.0,A,2008-2009
Manchester United,Arsenal,0.0,0.0,D,2008-2009
Bolton Wanderers,Hull City,1.0,1.0,D,2008-2009
Everton,West Ham United,3.0,1.0,H,2008-2009
Middlesbrough,Aston Villa,1.0,1.0,D,2008-2009
Newcastle United,Fulham,0.0,1.0,A,2008-2009
Stoke City,Wigan Athletic,2.0,0.0,H,2008-2009
Tottenham Hotspur,Manchester City,2.0,1.0,H,2008-2009
West Bromwich Albion,Liverpool,0.0,2.0,A,2008-2009
Chelsea,Blackburn Rovers,2.0,0.0,H,2008-2009
Portsmouth,Sunderland,3.0,1.0,H,2008-2009
Arsenal,Stoke City,4.0,1.0,H,2008-2009
Aston Villa,Newcastle United,1.0,0.0,H,2008-2009
Blackburn Rovers,West Bromwich Albion,0.0,0.0,D,2008-2009
Fulham,Everton,0.0,2.0,A,2008-2009
Hull City,Manchester United,0.0,1.0,A,2008-2009
Liverpool,Tottenham Hotspur,3.0,1.0,H,2008-2009
Manchester City,Bolton Wanderers,1.0,0.0,H,2008-2009
Sunderland,Chelsea,2.0,3.0,A,2008-2009
West Ham United,Middlesbrough,2.0,1.0,H,2008-2009
Wigan Athletic,Portsmouth,1.0,0.0,H,2008-2009
Chelsea,Hull City,2.0,1.0,H,2009-2010
Aston Villa,Wigan Athletic,0.0,2.0,A,2009-2010
Blackburn Rovers,Manchester City,0.0,2.0,A,2009-2010
Bolton Wanderers,Sunderland,0.0,1.0,A,2009-2010
Portsmouth,Fulham,0.0,1.0,A,2009-2010
Stoke City,Burnley,2.0,0.0,H,2009-2010
Wolverhampton Wanderers,West Ham United,0.0,2.0,A,2009-2010
Everton,Arsenal,1.0,6.0,A,2009-2010
Manchester United,Birmingham City,1.0,0.0,H,2009-2010
Tottenham Hotspur,Liverpool,2.0,1.0,H,2009-2010
Sunderland,Chelsea,1.0,3.0,A,2009-2010
Wigan Athletic,Wolverhampton Wanderers,0.0,1.0,A,2009-2010
Birmingham City,Portsmouth,1.0,0.0,H,2009-2010
Burnley,Manchester United,1.0,0.0,H,2009-2010
Hull City,Tottenham Hotspur,1.0,5.0,A,2009-2010
Liverpool,Stoke City,4.0,0.0,H,2009-2010
Arsenal,Portsmouth,4.0,1.0,H,2009-2010
Birmingham City,Stoke City,0.0,0.0,D,2009-2010
Hull City,Bolton Wanderers,1.0,0.0,H,2009-2010
Manchester City,Wolverhampton Wanderers,1.0,0.0,H,2009-2010
Sunderland,Blackburn Rovers,2.0,1.0,H,2009-2010
Wigan Athletic,Manchester United,0.0,5.0,A,2009-2010
West Ham United,Tottenham Hotspur,1.0,2.0,A,2009-2010
Burnley,Everton,1.0,0.0,H,2009-2010
Fulham,Chelsea,0.0,2.0,A,2009-2010
Liverpool,Aston Villa,1.0,3.0,A,2009-2010
Chelsea,Burnley,3.0,0.0,H,2009-2010
Blackburn Rovers,West Ham United,0.0,0.0,D,2009-2010
Bolton Wanderers,Liverpool,2.0,3.0,A,2009-2010
Stoke City,Sunderland,1.0,0.0,H,2009-2010
Tottenham Hotspur,Birmingham City,2.0,1.0,H,2009-2010
Wolverhampton Wanderers,Hull City,1.0,1.0,D,2009-2010
Manchester United,Arsenal,2.0,1.0,H,2009-2010
Portsmouth,Manchester City,0.0,1.0,A,2009-2010
Everton,Wigan Athletic,2.0,1.0,H,2009-2010
Aston Villa,Fulham,2.0,0.0,H,2009-2010
Blackburn Rovers,Wolverhampton Wanderers,3.0,1.0,H,2009-2010
Liverpool,Burnley,4.0,0.0,H,2009-2010
Manchester City,Arsenal,4.0,2.0,H,2009-2010
Portsmouth,Bolton Wanderers,2.0,3.0,A,2009-2010
Stoke City,Chelsea,1.0,2.0,A,2009-2010
Sunderland,Hull City,4.0,1.0,H,2009-2010
Wigan Athletic,West Ham United,1.0,0.0,H,2009-2010
Tottenham Hotspur,Manchester United,1.0,3.0,A,2009-2010
Birmingham City,Aston Villa,0.0,1.0,A,2009-2010
Fulham,Everton,2.0,1.0,H,2009-2010
Burnley,Sunderland,3.0,1.0,H,2009-2010
Arsenal,Wigan Athletic,4.0,0.0,H,2009-2010
Aston Villa,Portsmouth,2.0,0.0,H,2009-2010
Bolton Wanderers,Stoke City,1.0,1.0,D,2009-2010
Hull City,Birmingham City,0.0,1.0,A,2009-2010
West Ham United,Liverpool,2.0,3.0,A,2009-2010
Manchester United,Manchester City,4.0,3.0,H,2009-2010
Wolverhampton Wanderers,Fulham,2.0,1.0,H,2009-2010
Everton,Blackburn Rovers,3.0,0.0,H,2009-2010
Chelsea,Tottenham Hotspur,3.0,0.0,H,2009-2010
Portsmouth,Everton,0.0,1.0,A,2009-2010
Birmingham City,Bolton Wanderers,1.0,2.0,A,2009-2010
Blackburn Rovers,Aston Villa,2.0,1.0,H,2009-2010
Liverpool,Hull City,6.0,1.0,H,2009-2010
Stoke City,Manchester United,0.0,2.0,A,2009-2010
Tottenham Hotspur,Burnley,5.0,0.0,H,2009-2010
Wigan Athletic,Chelsea,3.0,1.0,H,2009-2010
Fulham,Arsenal,0.0,1.0,A,2009-2010
Sunderland,Wolverhampton Wanderers,5.0,2.0,H,2009-2010
Manchester City,West Ham United,3.0,1.0,H,2009-2010
Bolton Wanderers,Tottenham Hotspur,2.0,2.0,D,2009-2010
Burnley,Birmingham City,2.0,1.0,H,2009-2010
Hull City,Wigan Athletic,2.0,1.0,H,2009-2010
Wolverhampton Wanderers,Portsmouth,0.0,1.0,A,2009-2010
Manchester United,Sunderland,2.0,2.0,D,2009-2010
Arsenal,Blackburn Rovers,6.0,2.0,H,2009-2010
Everton,Stoke City,1.0,1.0,D,2009-2010
West Ham United,Fulham,2.0,2.0,D,2009-2010
Chelsea,Liverpool,2.0,0.0,H,2009-2010
Aston Villa,Manchester City,1.0,1.0,D,2009-2010
Aston Villa,Chelsea,2.0,1.0,H,2009-2010
Arsenal,Birmingham City,3.0,1.0,H,2009-2010
Everton,Wolverhampton Wanderers,1.0,1.0,D,2009-2010
Manchester United,Bolton Wanderers,2.0,1.0,H,2009-2010
Portsmouth,Tottenham Hotspur,1.0,2.0,A,2009-2010
Stoke City,West Ham United,2.0,1.0,H,2009-2010
Sunderland,Liverpool,1.0,0.0,H,2009-2010
Blackburn Rovers,Burnley,3.0,2.0,H,2009-2010
Wigan Athletic,Manchester City,1.0,1.0,D,2009-2010
Fulham,Hull City,2.0,0.0,H,2009-2010
Wolverhampton Wanderers,Aston Villa,1.0,1.0,D,2009-2010
Birmingham City,Sunderland,2.0,1.0,H,2009-2010
Burnley,Wigan Athletic,1.0,3.0,A,2009-2010
Hull City,Portsmouth,0.0,0.0,D,2009-2010
Tottenham Hotspur,Stoke City,0.0,1.0,A,2009-2010
Chelsea,Blackburn Rovers,5.0,0.0,H,2009-2010
Bolton Wanderers,Everton,3.0,2.0,H,2009-2010
Liverpool,Manchester United,2.0,0.0,H,2009-2010
Manchester City,Fulham,2.0,2.0,D,2009-2010
West Ham United,Arsenal,2.0,2.0,D,2009-2010
Arsenal,Tottenham Hotspur,3.0,0.0,H,2009-2010
Bolton Wanderers,Chelsea,0.0,4.0,A,2009-2010
Burnley,Hull City,2.0,0.0,H,2009-2010
Everton,Aston Villa,1.0,1.0,D,2009-2010
Fulham,Liverpool,3.0,1.0,H,2009-2010
Portsmouth,Wigan Athletic,4.0,0.0,H,2009-2010
Stoke City,Wolverhampton Wanderers,2.0,2.0,D,2009-2010
Sunderland,West Ham United,2.0,2.0,D,2009-2010
Manchester United,Blackburn Rovers,2.0,0.0,H,2009-2010
Birmingham City,Manchester City,0.0,0.0,D,2009-2010
West Ham United,Aston Villa,2.0,1.0,H,2009-2010
Aston Villa,Bolton Wanderers,5.0,1.0,H,2009-2010
Blackburn Rovers,Portsmouth,3.0,1.0,H,2009-2010
Manchester City,Burnley,3.0,3.0,D,2009-2010
Tottenham Hotspur,Sunderland,2.0,0.0,H,2009-2010
Wolverhampton Wanderers,Arsenal,1.0,4.0,A,2009-2010
Hull City,Stoke City,2.0,1.0,H,2009-2010
West Ham United,Everton,1.0,2.0,A,2009-2010
Wigan Athletic,Fulham,1.0,1.0,D,2009-2010
Chelsea,Manchester United,1.0,0.0,H,2009-2010
Liverpool,Birmingham City,2.0,2.0,D,2009-2010
Liverpool,Manchester City,2.0,2.0,D,2009-2010
Birmingham City,Fulham,1.0,0.0,H,2009-2010
Burnley,Aston Villa,1.0,1.0,D,2009-2010
Chelsea,Wolverhampton Wanderers,4.0,0.0,H,2009-2010
Hull City,West Ham United,3.0,3.0,D,2009-2010
Sunderland,Arsenal,1.0,0.0,H,2009-2010
Manchester United,Everton,3.0,0.0,H,2009-2010
Bolton Wanderers,Blackburn Rovers,0.0,2.0,A,2009-2010
Tottenham Hotspur,Wigan Athletic,9.0,1.0,H,2009-2010
Stoke City,Portsmouth,1.0,0.0,H,2009-2010
Hull City,Everton,3.0,2.0,H,2009-2010
Fulham,Blackburn Rovers,3.0,0.0,H,2009-2010
Blackburn Rovers,Stoke City,0.0,0.0,D,2009-2010
Fulham,Bolton Wanderers,1.0,1.0,D,2009-2010
Manchester City,Hull City,1.0,1.0,D,2009-2010
Portsmouth,Manchester United,1.0,4.0,A,2009-2010
West Ham United,Burnley,5.0,3.0,H,2009-2010
Wigan Athletic,Sunderland,1.0,0.0,H,2009-2010
Aston Villa,Tottenham Hotspur,1.0,1.0,D,2009-2010
Wolverhampton Wanderers,Birmingham City,0.0,1.0,A,2009-2010
Everton,Liverpool,0.0,2.0,A,2009-2010
Arsenal,Chelsea,0.0,3.0,A,2009-2010
Portsmouth,Burnley,2.0,0.0,H,2009-2010
Arsenal,Stoke City,2.0,0.0,H,2009-2010
Aston Villa,Hull City,3.0,0.0,H,2009-2010
Blackburn Rovers,Liverpool,0.0,0.0,D,2009-2010
West Ham United,Manchester United,0.0,4.0,A,2009-2010
Wigan Athletic,Birmingham City,2.0,3.0,A,2009-2010
Wolverhampton Wanderers,Bolton Wanderers,2.0,1.0,H,2009-2010
Manchester City,Chelsea,2.0,1.0,H,2009-2010
Fulham,Sunderland,1.0,0.0,H,2009-2010
Everton,Tottenham Hotspur,2.0,2.0,D,2009-2010
Stoke City,Wigan Athletic,2.0,2.0,D,2009-2010
Birmingham City,West Ham United,1.0,0.0,H,2009-2010
Bolton Wanderers,Manchester City,3.0,3.0,D,2009-2010
Burnley,Fulham,1.0,1.0,D,2009-2010
Chelsea,Everton,3.0,3.0,D,2009-2010
Hull City,Blackburn Rovers,0.0,0.0,D,2009-2010
Sunderland,Portsmouth,1.0,1.0,D,2009-2010
Tottenham Hotspur,Wolverhampton Wanderers,0.0,1.0,A,2009-2010
Manchester United,Aston Villa,0.0,1.0,A,2009-2010
Liverpool,Arsenal,1.0,2.0,A,2009-2010
Sunderland,Aston Villa,0.0,2.0,A,2009-2010
Birmingham City,Blackburn Rovers,2.0,1.0,H,2009-2010
Bolton Wanderers,West Ham United,3.0,1.0,H,2009-2010
Manchester United,Wolverhampton Wanderers,3.0,0.0,H,2009-2010
Burnley,Arsenal,1.0,1.0,D,2009-2010
Chelsea,Portsmouth,2.0,1.0,H,2009-2010
Liverpool,Wigan Athletic,2.0,1.0,H,2009-2010
Tottenham Hotspur,Manchester City,3.0,0.0,H,2009-2010
Portsmouth,Liverpool,2.0,0.0,H,2009-2010
Aston Villa,Stoke City,1.0,0.0,H,2009-2010
Blackburn Rovers,Tottenham Hotspur,0.0,2.0,A,2009-2010
Fulham,Manchester United,3.0,0.0,H,2009-2010
Manchester City,Sunderland,4.0,3.0,H,2009-2010
Arsenal,Hull City,3.0,0.0,H,2009-2010
Wolverhampton Wanderers,Burnley,2.0,0.0,H,2009-2010
Everton,Birmingham City,1.0,1.0,D,2009-2010
West Ham United,Chelsea,1.0,1.0,D,2009-2010
Birmingham City,Chelsea,0.0,0.0,D,2009-2010
Fulham,Tottenham Hotspur,0.0,0.0,D,2009-2010
West Ham United,Portsmouth,2.0,0.0,H,2009-2010
Burnley,Bolton Wanderers,1.0,1.0,D,2009-2010
Manchester City,Stoke City,2.0,0.0,H,2009-2010
Sunderland,Everton,1.0,1.0,D,2009-2010
Wigan Athletic,Blackburn Rovers,1.0,1.0,D,2009-2010
Liverpool,Wolverhampton Wanderers,2.0,0.0,H,2009-2010
Arsenal,Aston Villa,3.0,0.0,H,2009-2010
Hull City,Manchester United,1.0,3.0,A,2009-2010
Tottenham Hotspur,West Ham United,2.0,0.0,H,2009-2010
Blackburn Rovers,Sunderland,2.0,2.0,D,2009-2010
Chelsea,Fulham,2.0,1.0,H,2009-2010
Everton,Burnley,2.0,0.0,H,2009-2010
Stoke City,Birmingham City,0.0,1.0,A,2009-2010
Wolverhampton Wanderers,Manchester City,0.0,3.0,A,2009-2010
Aston Villa,Liverpool,0.0,1.0,A,2009-2010
Bolton Wanderers,Hull City,2.0,2.0,D,2009-2010
Portsmouth,Arsenal,1.0,4.0,A,2009-2010
Manchester United,Wigan Athletic,5.0,0.0,H,2009-2010
Stoke City,Fulham,3.0,2.0,H,2009-2010
Arsenal,Everton,2.0,2.0,D,2009-2010
Birmingham City,Manchester United,1.0,1.0,D,2009-2010
Manchester City,Blackburn Rovers,4.0,1.0,H,2009-2010
Stoke City,Liverpool,1.0,1.0,D,2009-2010
Chelsea,Sunderland,7.0,2.0,H,2009-2010
Manchester United,Burnley,3.0,0.0,H,2009-2010
Tottenham Hotspur,Hull City,0.0,0.0,D,2009-2010
Wolverhampton Wanderers,Wigan Athletic,0.0,2.0,A,2009-2010
Everton,Manchester City,2.0,0.0,H,2009-2010
Aston Villa,West Ham United,0.0,0.0,D,2009-2010
Blackburn Rovers,Fulham,2.0,0.0,H,2009-2010
Bolton Wanderers,Arsenal,0.0,2.0,A,2009-2010
Arsenal,Bolton Wanderers,4.0,2.0,H,2009-2010
Liverpool,Tottenham Hotspur,2.0,0.0,H,2009-2010
Manchester United,Hull City,4.0,0.0,H,2009-2010
Portsmouth,West Ham United,1.0,1.0,D,2009-2010
Wolverhampton Wanderers,Liverpool,0.0,0.0,D,2009-2010
Bolton Wanderers,Burnley,1.0,0.0,H,2009-2010
Tottenham Hotspur,Fulham,2.0,0.0,H,2009-2010
Aston Villa,Arsenal,0.0,0.0,D,2009-2010
Chelsea,Birmingham City,3.0,0.0,H,2009-2010
Blackburn Rovers,Wigan Athletic,2.0,1.0,H,2009-2010
Everton,Sunderland,2.0,0.0,H,2009-2010
Birmingham City,Tottenham Hotspur,1.0,1.0,D,2009-2010
Fulham,Aston Villa,0.0,2.0,A,2009-2010
Hull City,Wolverhampton Wanderers,2.0,2.0,D,2009-2010
Liverpool,Bolton Wanderers,2.0,0.0,H,2009-2010
West Ham United,Blackburn Rovers,0.0,0.0,D,2009-2010
Wigan Athletic,Everton,0.0,1.0,A,2009-2010
Burnley,Chelsea,1.0,2.0,A,2009-2010
Manchester City,Portsmouth,2.0,0.0,H,2009-2010
Arsenal,Manchester United,1.0,3.0,A,2009-2010
Sunderland,Stoke City,0.0,0.0,D,2009-2010
Hull City,Chelsea,1.0,1.0,D,2009-2010
Fulham,Portsmouth,1.0,0.0,H,2009-2010
Liverpool,Everton,1.0,0.0,H,2009-2010
Bolton Wanderers,Fulham,0.0,0.0,D,2009-2010
Burnley,West Ham United,2.0,1.0,H,2009-2010
Hull City,Manchester City,2.0,1.0,H,2009-2010
Manchester United,Portsmouth,5.0,0.0,H,2009-2010
Stoke City,Blackburn Rovers,3.0,0.0,H,2009-2010
Sunderland,Wigan Athletic,1.0,1.0,D,2009-2010
Tottenham Hotspur,Aston Villa,0.0,0.0,D,2009-2010
Birmingham City,Wolverhampton Wanderers,2.0,1.0,H,2009-2010
Chelsea,Arsenal,2.0,0.0,H,2009-2010
Manchester City,Bolton Wanderers,2.0,0.0,H,2009-2010
Portsmouth,Sunderland,1.0,1.0,D,2009-2010
Wigan Athletic,Stoke City,1.0,1.0,D,2009-2010
Fulham,Burnley,3.0,0.0,H,2009-2010
Arsenal,Liverpool,1.0,0.0,H,2009-2010
Aston Villa,Manchester United,1.0,1.0,D,2009-2010
West Ham United,Birmingham City,2.0,0.0,H,2009-2010
Wolverhampton Wanderers,Tottenham Hotspur,1.0,0.0,H,2009-2010
Blackburn Rovers,Hull City,1.0,0.0,H,2009-2010
Everton,Chelsea,2.0,1.0,H,2009-2010
Stoke City,Manchester City,1.0,1.0,D,2009-2010
Wigan Athletic,Bolton Wanderers,0.0,0.0,D,2009-2010
Everton,Manchester United,3.0,1.0,H,2009-2010
Arsenal,Sunderland,2.0,0.0,H,2009-2010
West Ham United,Hull City,3.0,0.0,H,2009-2010
Wolverhampton Wanderers,Chelsea,0.0,2.0,A,2009-2010
Portsmouth,Stoke City,1.0,2.0,A,2009-2010
Blackburn Rovers,Bolton Wanderers,3.0,0.0,H,2009-2010
Aston Villa,Burnley,5.0,2.0,H,2009-2010
Fulham,Birmingham City,2.0,1.0,H,2009-2010
Manchester City,Liverpool,0.0,0.0,D,2009-2010
Wigan Athletic,Tottenham Hotspur,0.0,3.0,A,2009-2010
Manchester United,West Ham United,3.0,0.0,H,2009-2010
Chelsea,Manchester City,2.0,4.0,A,2009-2010
Birmingham City,Wigan Athletic,1.0,0.0,H,2009-2010
Bolton Wanderers,Wolverhampton Wanderers,1.0,0.0,H,2009-2010
Burnley,Portsmouth,1.0,2.0,A,2009-2010
Stoke City,Arsenal,1.0,3.0,A,2009-2010
Tottenham Hotspur,Everton,2.0,1.0,H,2009-2010
Liverpool,Blackburn Rovers,2.0,1.0,H,2009-2010
Sunderland,Fulham,0.0,0.0,D,2009-2010
Arsenal,Burnley,3.0,1.0,H,2009-2010
West Ham United,Bolton Wanderers,1.0,2.0,A,2009-2010
Wolverhampton Wanderers,Manchester United,0.0,1.0,A,2009-2010
Everton,Hull City,5.0,1.0,H,2009-2010
Wigan Athletic,Liverpool,1.0,0.0,H,2009-2010
Portsmouth,Birmingham City,1.0,2.0,A,2009-2010
Sunderland,Bolton Wanderers,4.0,0.0,H,2009-2010
Burnley,Stoke City,1.0,1.0,D,2009-2010
Tottenham Hotspur,Blackburn Rovers,3.0,1.0,H,2009-2010
Birmingham City,Everton,2.0,2.0,D,2009-2010
Bolton Wanderers,Wigan Athletic,4.0,0.0,H,2009-2010
Burnley,Wolverhampton Wanderers,1.0,2.0,A,2009-2010
Chelsea,West Ham United,4.0,1.0,H,2009-2010
Stoke City,Aston Villa,0.0,0.0,D,2009-2010
Hull City,Arsenal,1.0,2.0,A,2009-2010
Manchester United,Fulham,3.0,0.0,H,2009-2010
Sunderland,Manchester City,1.0,1.0,D,2009-2010
Liverpool,Portsmouth,4.0,1.0,H,2009-2010
Wigan Athletic,Aston Villa,1.0,2.0,A,2009-2010
Aston Villa,Wolverhampton Wanderers,2.0,2.0,D,2009-2010
Everton,Bolton Wanderers,2.0,0.0,H,2009-2010
Portsmouth,Hull City,3.0,2.0,H,2009-2010
Stoke City,Tottenham Hotspur,1.0,2.0,A,2009-2010
Sunderland,Birmingham City,3.0,1.0,H,2009-2010
Wigan Athletic,Burnley,1.0,0.0,H,2009-2010
Arsenal,West Ham United,2.0,0.0,H,2009-2010
Manchester United,Liverpool,2.0,1.0,H,2009-2010
Fulham,Manchester City,1.0,2.0,A,2009-2010
Blackburn Rovers,Chelsea,1.0,1.0,D,2009-2010
West Ham United,Wolverhampton Wanderers,1.0,3.0,A,2009-2010
Aston Villa,Sunderland,1.0,1.0,D,2009-2010
Manchester City,Everton,0.0,2.0,A,2009-2010
Portsmouth,Chelsea,0.0,5.0,A,2009-2010
Blackburn Rovers,Birmingham City,2.0,1.0,H,2009-2010
Birmingham City,Arsenal,1.0,1.0,D,2009-2010
Chelsea,Aston Villa,7.0,1.0,H,2009-2010
Hull City,Fulham,2.0,0.0,H,2009-2010
Tottenham Hotspur,Portsmouth,2.0,0.0,H,2009-2010
West Ham United,Stoke City,0.0,1.0,A,2009-2010
Wolverhampton Wanderers,Everton,0.0,0.0,D,2009-2010
Bolton Wanderers,Manchester United,0.0,4.0,A,2009-2010
Burnley,Blackburn Rovers,0.0,1.0,A,2009-2010
Liverpool,Sunderland,3.0,0.0,H,2009-2010
Manchester City,Wigan Athletic,3.0,0.0,H,2009-2010
Manchester United,Chelsea,1.0,2.0,A,2009-2010
Arsenal,Wolverhampton Wanderers,1.0,0.0,H,2009-2010
Bolton Wanderers,Aston Villa,0.0,1.0,A,2009-2010
Portsmouth,Blackburn Rovers,0.0,0.0,D,2009-2010
Stoke City,Hull City,2.0,0.0,H,2009-2010
Sunderland,Tottenham Hotspur,3.0,1.0,H,2009-2010
Burnley,Manchester City,1.0,6.0,A,2009-2010
Birmingham City,Liverpool,1.0,1.0,D,2009-2010
Fulham,Wigan Athletic,2.0,1.0,H,2009-2010
Everton,West Ham United,2.0,2.0,D,2009-2010
